1,44.28,29.37,100949.50,28.69,1.02
2,43.84,29.04,100947.50,28.19,0.51
1,44.29,29.37,100946.75,28.69,0.96
2,43.85,29.05,100949.75,28.19,0.51
1,44.29,29.38,100945.50,28.62,0.94
2,43.83,29.07,100951.25,28.19,0.51
1,44.28,29.37,100950.00,28.69,1.04
2,43.80,29.06,100945.50,28.19,0.51
1,44.28,29.34,100943.00,28.62,1.04
2,43.80,29.06,100949.25,28.19,0.51
1,44.29,29.34,100946.75,28.62,1.04
2,43.80,29.07,100946.50,28.19,0.51
1,44.32,29.34,100944.25,28.62,1.03
2,43.79,29.09,100946.50,28.19,0.51
1,44.35,29.34,100945.50,28.62,1.05
2,43.80,29.09,100948.75,28.19,0.51
1,44.38,29.35,100946.50,28.62,1.03
2,43.77,29.09,100947.00,28.19,0.51
1,44.40,29.36,100944.75,28.62,1.06
2,43.76,29.09,100949.00,28.19,0.51
1,44.41,29.36,100946.00,28.62,1.05
2,43.71,29.09,100950.00,28.19,0.50
1,44.42,29.37,100947.75,28.62,1.01
2,43.74,29.09,100946.50,28.19,0.51
1,44.42,29.37,100945.75,28.62,1.00
2,43.74,29.09,100946.75,28.19,0.50
1,44.43,29.37,100951.00,28.62,1.03
2,43.73,29.11,100949.50,28.19,0.50
1,44.45,29.37,100949.75,28.62,1.03
2,43.69,29.09,100948.50,28.19,0.50
1,44.48,29.38,100945.50,28.62,1.03
2,43.65,29.08,100944.50,28.19,0.51
1,44.52,29.39,100949.25,28.69,1.04
2,43.58,29.08,100946.00,28.19,0.51
1,44.57,29.38,100947.75,28.69,1.01
2,43.56,29.09,100948.00,28.19,0.50
1,44.58,29.39,100950.50,28.69,1.01
2,43.54,29.08,100948.75,28.19,0.50
1,44.60,29.41,100945.50,28.62,1.04
2,43.50,29.08,100950.50,28.19,0.50
1,44.60,29.41,100949.50,28.69,1.05
2,43.48,29.07,100947.50,28.19,0.50
1,44.60,29.41,100944.25,28.62,1.05
2,43.50,29.07,100947.25,28.19,0.50
1,44.59,29.41,100947.75,28.69,1.00
2,43.48,29.07,100951.25,28.19,0.50
1,44.54,29.38,100949.75,28.69,1.07
2,43.48,29.07,100948.25,28.19,0.52
1,44.50,29.39,100950.00,28.69,1.06
2,43.46,29.08,100948.00,28.19,0.52
1,44.49,29.38,100950.00,28.69,1.06
2,43.45,29.07,100949.75,28.19,0.50
1,44.48,29.41,100950.75,28.69,1.00
2,43.44,29.06,100946.75,28.19,0.50
1,44.45,29.41,100946.25,28.62,1.00
2,43.44,29.08,100946.75,28.19,0.51
1,44.42,29.41,100946.50,28.62,0.93
2,43.43,29.07,100948.75,28.19,0.51
1,44.42,29.41,100944.75,28.62,0.94
2,43.45,29.06,100950.75,28.19,0.51
1,44.45,29.41,100950.25,28.69,1.00
2,43.44,29.08,100951.00,28.19,0.50
1,44.50,29.42,100949.00,28.69,1.04
2,43.45,29.07,100950.00,28.19,0.51
1,44.52,29.42,100943.25,28.69,1.03
2,43.45,29.06,100948.75,28.19,0.50
1,44.53,29.44,100946.50,28.69,1.00
2,43.42,29.07,100949.25,28.19,0.50
1,44.51,29.43,100947.50,28.69,1.00
2,43.39,29.07,100948.50,28.19,0.50
1,44.48,29.44,100945.25,28.69,1.01
2,43.42,29.07,100946.00,28.19,0.50
1,44.48,29.44,100949.50,28.69,1.01
2,43.42,29.06,100950.00,28.19,0.50
1,44.47,29.44,100945.50,28.69,1.01
2,43.42,29.06,100948.50,28.19,0.50
1,44.44,29.44,100942.50,28.69,1.02
2,43.39,29.07,100949.50,28.19,0.50
1,44.42,29.45,100946.00,28.69,1.06
2,43.35,29.06,100949.00,28.19,0.52
1,44.39,29.46,100947.00,28.69,1.03
2,43.35,29.05,100946.75,28.19,0.52
1,44.38,29.46,100945.50,28.69,1.04
